종목명,섹터,종목코드
쎄노텍,화학,222420
에스폴리텍,화학,50760
영보화학,화학,14440
한국바이오젠,화학,318000
웹스,화학,196700
원풍,화학,8370
나노캠텍,화학,91970
효성오앤비,화학,97870
WISCOM,화학,24070
전진바이오팜,화학,110020
와이오엠,화학,66430
성보화학,화학,3080
한일화학,화학,7770
엔피케이,화학,48830
진양폴리,화학,10640
진양화학,화학,51630
케이디켐,화학,221980
스타플렉스,화학,115570
이화산업,화학,760
고려아연,비철금속,10130
풍산,비철금속,103140
국일제지,비철금속,78130
동원시스템즈,비철금속,14820
남선알미늄,비철금속,8350
일진다이아,비철금속,81000
한솔제지,비철금속,213500
엠투엔,비철금속,33310
락앤락,비철금속,115390
율촌화학,비철금속,8730
아세아제지,비철금속,2310
해성산업,비철금속,34810
알루코,비철금속,1780
포스코강판,비철금속,58430
삼아알미늄,비철금속,6110
신대양제지,비철금속,16590
대호에이엘,비철금속,69460
현대비앤지스틸,비철금속,4560
아세아,비철금속,2030
풍산홀딩스,비철금속,5810
대양금속,비철금속,9190
연우,비철금속,115960
대영포장,비철금속,14160
성창기업지주,비철금속,180
한솔홀딩스,비철금속,4150
조일알미늄,비철금속,18470
깨끗한나라,비철금속,4540
EG,비철금속,37370
삼양패키징,비철금속,272550
그린플러스,비철금속,186230
대창,비철금속,12800
펌텍코리아,비철금속,251970
감성코퍼레이션,비철금속,36620
무림P&P,비철금속,9580
태림포장,비철금속,11280
태경비케이,비철금속,14580
삼보판지,비철금속,23600
디씨엠,비철금속,24090
한국내화,비철금속,10040
조선내화,비철금속,480
한창제지,비철금속,9460
이구산업,비철금속,25820
황금에스티,비철금속,32560
티플랙스,비철금속,81150
태경산업,비철금속,15890
삼보산업,비철금속,9620
서원,비철금속,21050
한국수출포장,비철금속,2200
피제이메탈,비철금속,128660
무림페이퍼,비철금속,9200
동국알앤에스,비철금속,75970
세하,비철금속,27970
컨버즈,비철금속,109070
대륙제관,비철금속,4780
영풍제지,비철금속,6740
파버나인,비철금속,177830
DSR,비철금속,155660
한국팩키지,비철금속,37230
신풍제지,비철금속,2870
대림제지,비철금속,17650
SUN&L,비철금속,2820
삼화왕관,비철금속,4450
쎄니트,비철금속,37760
무림SP,비철금속,1810
국일신동,비철금속,60480
페이퍼코리아,비철금속,1020
한솔PNS,비철금속,10420
한창산업,비철금속,79170
제일연마,비철금속,1560
삼륭물산,비철금속,14970
승일,비철금속,49830
케이피티유,비철금속,54410
금비,비철금속,8870
원림,비철금속,5820
POSCO,철강,5490
현대제철,철강,4020
동국제강,철강,1230
KG동부제철,철강,16380
세아베스틸,철강,1430
KG ETS,철강,151860
아주스틸,철강,139990
대한제강,철강,84010
세아제강지주,철강,3030
고려제강,철강,2240
한국철강,철강,104700
동국S&C,철강,100130
포스코엠텍,철강,9520
동일산업,철강,4890
한국선재,철강,25550
경남스틸,철강,39240
KISCO홀딩스,철강,1940
동양철관,철강,8970
세아제강,철강,306200
한국주철관,철강,970
동국산업,철강,5160
TCC스틸,철강,2710
제일제강,철강,23440
휴스틸,철강,5010
한국특강,철강,7280
휴먼엔,철강,32860
DSR제강,철강,69730
문배철강,철강,8420
NI스틸,철강,8260
부국철강,철강,26940
대동스틸,철강,48470
금강철강,철강,53260
세아홀딩스,철강,58650
화인베스틸,철강,133820
삼현철강,철강,17480
조선선재,철강,120030
만호제강,철강,1080
대호특수강,철강,21040
세아특수강,철강,19440
영흥,철강,12160
한일철강,철강,2220
원일특강,철강,12620
하이스틸,철강,71090
동양에스텍,철강,60380
동일제강,철강,2690
유에스티,철강,263770
동일철강,철강,23790
대창스틸,철강,140520
한국주강,철강,25890
광진실업,철강,26910
CS홀딩스,철강,590
SHD,철강,1770
삼성엔지니어링,건설,28050
현대건설,건설,720
GS건설,건설,6360
DL이앤씨,건설,375500
KCC,건설,2380
대우건설,건설,47040
DL,건설,210
한샘,건설,9240
HDC현대산업개발,건설,294870
쌍용C&E,건설,3410
지누스,건설,13890
아이에스동서,건설,10780
티와이홀딩스,건설,363280
KCC글라스,건설,344820
LX하우시스,건설,108670
HDC,건설,12630
동화기업,건설,25900
한일시멘트,건설,300720
삼부토건,건설,1470
DL건설,건설,1880
금호건설,건설,2990
유진기업,건설,23410
서희건설,건설,35890
동원개발,건설,13120
동양,건설,1520
현대리바트,건설,79430
아세아시멘트,건설,183190
계룡건설,건설,13580
서한,건설,11370
삼표시멘트,건설,38500
성신양회,건설,4980
진흥기업,건설,2780
코오롱글로벌,건설,3070
벽산,건설,7210
일진파워,건설,94820
한양이엔지,건설,45100
한신공영,건설,4960
특수건설,건설,26150
홈센타홀딩스,건설,60560
삼화페인트,건설,390
일성건설,건설,13360
한일홀딩스,건설,3300
태영건설,건설,9410
한진중공업,건설,97230
일신석재,건설,7110
동부건설,건설,5960
범양건영,건설,2410
도화엔지니어링,건설,2150
퍼시스,건설,16800
동아지질,건설,28100
보광산업,건설,225530
금화피에스시,건설,36190
금강공업,건설,14280
한솔홈데코,건설,25750
한라,건설,14790
에스와이,건설,109610
화성산업,건설,2460
노루페인트,건설,90350
자이에스앤디,건설,317400
웰크론,건설,65950
에넥스,건설,11090
신세계건설,건설,34300
동신건설,건설,25950
한일현대시멘트,건설,6390
상지카일룸,건설,42940
오하임아이엔티,건설,309930
이건산업,건설,8250
삼호개발,건설,10960
강남제비스코,건설,860
중앙디앤엠,건설,51980
까뮤이앤씨,건설,13700
이화공영,건설,1840
KCC건설,건설,21320
신원종합개발,건설,17000
삼목에스폼,건설,18310
한미글로벌,건설,53690
KH E&T,건설,226360
초록뱀컴퍼니,건설,52300
KT서브마린,건설,60370
에쓰씨엔지니어링,건설,23960
에이스침대,건설,3800
HDC아이콘트롤스,건설,39570
우원개발,건설,46940
덕신하우징,건설,90410
부산산업,건설,11390
국보디자인,건설,66620
SGC이테크건설,건설,16250
유니온,건설,910
대림B&Co,건설,5750
웰크론한텍,건설,76080
남광토건,건설,1260
이건홀딩스,건설,39020
국영지앤엠,건설,6050
정산애강,건설,22220
희림,건설,37440
삼일씨엔에스,건설,4440
다스코,건설,58730
라이온켐텍,건설,171120
노루홀딩스,건설,320
고려시멘트,건설,198440
KD,건설,44180
남화토건,건설,91590
조광페인트,건설,4910
모헨즈,건설,6920
SG,건설,255220
프럼파스트,건설,35200
삼일기업공사,건설,2290
동양파일,건설,228340
한국종합기술,건설,23350
유신,건설,54930
제일테크노스,건설,38010
시디즈,건설,134790
세보엠이씨,건설,11560
코아스,건설,71950
뉴보텍,건설,60260
윈하이텍,건설,192390
코리아에스이,건설,101670
대원,건설,7680
와토스코리아,건설,79000
우진아이엔에스,건설,10400
서산,건설,79650
듀오백,건설,73190
대림통상,건설,6570
두산중공업,기계,34020
두산밥캣,기계,241560
현대로템,기계,64350
현대엘리베이,기계,17800
씨에스윈드,기계,112610
LS,기계,6260
LS ELECTRIC,기계,10120
에스에프에이,기계,56190
대한전선,기계,1440
현대일렉트릭,기계,267260
현대두산인프라코어,기계,42670
현대건설기계,기계,267270
유니슨,기계,18000
효성중공업,기계,298040
에이프로젠 MED,기계,7460
TYM,기계,2900
대한광통신,기계,10170
SIMPAC,기계,9160
코윈테크,기계,282880
3S,기계,60310
보성파워텍,기계,6910
이엠코리아,기계,95190
와이지-원,기계,19210
이엔플러스,기계,74610
티에스아이,기계,277880
태광,기계,23160
디와이피엔에프,기계,104460
광림,기계,14200
비나텍,기계,126340
진성티이씨,기계,36890
대동,기계,490
하이록코리아,기계,13030
제이엔케이히터,기계,126880
성광벤드,기계,14620
에이치엘비파워,기계,43220
넥스턴바이오,기계,89140
로보스타,기계,90360
일진홀딩스,기계,15860
이화전기,기계,24810
한국테크놀로지,기계,53590
테라사이언스,기계,73640
비츠로테크,기계,42370
우진,기계,105840
레인보우로보틱스,기계,277810
나라엠앤디,기계,51490
에스엠코어,기계,7820
씨에스베어링,기계,297090
대원전선,기계,6340
원방테크,기계,53080
에이테크솔루션,기계,71670
디와이파워,기계,210540
광명전기,기계,17040
휴림로봇,기계,90710
한신기계,기계,11700
일진전기,기계,103590
LS전선아시아,기계,229640
영풍정밀,기계,36560
서전기전,기계,189860
디와이,기계,13570
조광ILI,기계,44060
대창솔루션,기계,96350
KC코트렐,기계,119650
삼익THK,기계,4380
에너토크,기계,19990
제룡전기,기계,33100
알에스오토메이션,기계,140670
수성이노베이션,기계,84180
엔케이,기계,85310
디케이락,기계,105740
선도전기,기계,7610
수산중공업,기계,17550
코메론,기계,49430
제일전기공업,기계,199820
파라텍,기계,33540
KC그린홀딩스,기계,9440
이더블유케이,기계,258610
가온전선,기계,500
큐로,기계,15590
우진플라임,기계,49800
SNT에너지,기계,100840
세명전기,기계,17510
대창단조,기계,15230
아스플로,기계,159010
비에이치아이,기계,83650
케이피에프,기계,24880
혜인,기계,3010
현대에버다임,기계,41440
KBI메탈,기계,24840
지엔씨에너지,기계,119850
제룡산업,기계,147830
흥국,기계,10240
스맥,기계,99440
비엠티,기계,86670
동일금속,기계,109860
화천기공,기계,850
아세아텍,기계,50860
화성밸브,기계,39610
부스타,기계,8470
기신정기,기계,92440
에이치케이,기계,44780
포메탈,기계,119500
화천기계,기계,10660
신진에스엠,기계,138070
자비스,기계,254120
대모,기계,317850
프리엠스,기계,53160
서암기계공업,기계,100660
우림기계,기계,101170
피앤씨테크,기계,237750
에쎈테크,기계,43340
TPC,기계,48770
대동기어,기계,8830
해성티피씨,기계,59270
에스피시스템스,기계,317830
에이치엘비,조선,28300
한국조선해양,조선,9540
삼성중공업,조선,10140
현대미포조선,조선,10620
현대중공업,조선,329180
대우조선해양,조선,42660
삼강엠앤티,조선,100090
한국카본,조선,17960
HSD엔진,조선,82740
세진중공업,조선,75580
케이프,조선,64820
오리엔탈정공,조선,14940
메디콕스,조선,54180
대양전기공업,조선,108380
인화정공,조선,101930
삼영이엔씨,조선,65570
삼영엠텍,조선,54540
STX중공업,조선,71970
한라IMS,조선,92460
STX엔진,조선,77970
상상인인더스트리,조선,101000
케이에스피,조선,73010
일승,조선,333430
삼성물산,"상사,자본재",28260
SK,"상사,자본재",34730
LG,"상사,자본재",3550
한국항공우주,"상사,자본재",47810
에스원,"상사,자본재",12750
한화에어로스페이스,"상사,자본재",12450
CJ,"상사,자본재",1040
포스코인터내셔널,"상사,자본재",47050
한화시스템,"상사,자본재",272210
효성,"상사,자본재",4800
LX인터내셔널,"상사,자본재",1120
NICE평가정보,"상사,자본재",30190
SK네트웍스,"상사,자본재",1740
LIG넥스원,"상사,자본재",79550
두산,"상사,자본재",150
쎄트렉아이,"상사,자본재",99320
LX홀딩스,"상사,자본재",383800
NICE,"상사,자본재",34310
인선이엔티,"상사,자본재",60150
사람인에이치알,"상사,자본재",143240
제넨바이오,"상사,자본재",72520
아이마켓코리아,"상사,자본재",122900
코엔텍,"상사,자본재",29960
나이스정보통신,"상사,자본재",36800
현대이지웰,"상사,자본재",90850
현대코퍼레이션,"상사,자본재",11760
아스트,"상사,자본재",67390
휴센텍,"상사,자본재",215090
웅진,"상사,자본재",16880
켄코아에어로스페이스,"상사,자본재",274090
GS글로벌,"상사,자본재",1250
자연과환경,"상사,자본재",43910
나이스디앤비,"상사,자본재",130580
빅텍,"상사,자본재",65450
에이트원,"상사,자본재",230980
한국기업평가,"상사,자본재",34950
제노코,"상사,자본재",361390
휴니드,"상사,자본재",5870
이크레더블,"상사,자본재",92130
KTcs,"상사,자본재",58850
아이쓰리시스템,"상사,자본재",214430
고려신용정보,"상사,자본재",49720
효성ITX,"상사,자본재",94280
KTis,"상사,자본재",58860
퍼스텍,"상사,자본재",10820
SCI평가정보,"상사,자본재",36120
하이즈항공,"상사,자본재",221840
누리플랜,"상사,자본재",69140
STX,"상사,자본재",11810
HMM,운송,11200
대한항공,운송,3490
현대글로비스,운송,86280
한진칼,운송,180640
팬오션,운송,28670
CJ대한통운,운송,120
아시아나항공,운송,20560
흥아해운,운송,3280
롯데렌탈,운송,89860
진에어,운송,272450
대한해운,운송,5880
한진,운송,2320
제주항공,운송,89590
현대무벡스,운송,319400
에어부산,운송,298690
티웨이항공,운송,91810
KCTC,운송,9070
동방,운송,4140
KSS해운,운송,44450
선광,운송,3100
세방,운송,4360
SK렌터카,운송,68400
와이엔텍,운송,67900
한솔로지스틱스,운송,9180
국보,운송,1140
유수홀딩스,운송,700
태웅로직스,운송,124560
AJ네트웍스,운송,95570
삼일,운송,32280
토탈소프트,운송,45340
한국공항,운송,5430
레드캡투어,운송,38390
유성티엔에스,운송,24800
티웨이홀딩스,운송,4870
SG&G,운송,40610
한익스프레스,운송,14130
인터지스,운송,129260
예림당,운송,36000
동양고속,운송,84670
천일고속,운송,650
현대차,자동차,5380
기아,자동차,270
현대모비스,자동차,12330
한국타이어앤테크놀로지,자동차,161390
한온시스템,자동차,18880
만도,자동차,204320
현대위아,자동차,11210
일진하이솔루스,자동차,271940
세방전지,자동차,4490
명신산업,자동차,9900
에스엘,자동차,5850
한국단자,자동차,25540
금호타이어,자동차,73240
SNT모티브,자동차,64960
한국앤컴퍼니,자동차,240
한라홀딩스,자동차,60980
성우하이텍,자동차,15750
아이에이,자동차,38880
넥센타이어,자동차,2350
금호에이치티,자동차,214330
디티알오토모티브,자동차,7340
세종공업,자동차,33530
대원강업,자동차,430
삼기,자동차,122350
우수AMS,자동차,66590
화신,자동차,10690
엠에스오토텍,자동차,123040
CBI,자동차,13720
인지컨트롤스,자동차,23800
서연,자동차,7860
세원,자동차,234100
트루윈,자동차,105550
우리산업,자동차,215360
코프라,자동차,126600
동아화성,자동차,41930
이원컴포텍,자동차,88290
센트랄모텍,자동차,308170
모트렉스,자동차,118990
피에이치에이,자동차,43370
디아이씨,자동차,92200
영화테크,자동차,265560
넥센,자동차,5720
대우부품,자동차,9320
대유에이텍,자동차,2880
모토닉,자동차,9680
SNT홀딩스,자동차,36530
SNT중공업,자동차,3570
서연이화,자동차,200880
HDC현대EP,자동차,89470
유니크,자동차,11320
아진산업,자동차,13310
유니테크노,자동차,241690
에코플라스틱,자동차,38110
인팩,자동차,23810
대유플러스,자동차,300
계양전기,자동차,12200
케이엔더블유,자동차,105330
모베이스전자,자동차,12860
유니온머티리얼,자동차,47400
영화금속,자동차,12280
삼보모터스,자동차,53700
두올,자동차,16740
엔브이에이치코리아,자동차,67570
경창산업,자동차,24910
크린앤사이언스,자동차,45520
삼성공조,자동차,6660
한일단조,자동차,24740
우신시스템,자동차,17370
대성파인텍,자동차,104040
광진윈텍,자동차,90150
동아타이어,자동차,282690
오스템,자동차,31510
코리아에프티,자동차,123410
화승코퍼레이션,자동차,13520
덕양산업,자동차,24900
케이비아이동국실업,자동차,1620
지엠비코리아,자동차,13870
현대공업,자동차,170030
다이나믹디자인,자동차,145210
화신정공,자동차,126640
캐스텍코리아,자동차,71850
한국프랜지,자동차,10100
대원산업,자동차,5710
티에이치엔,자동차,19180
에코캡,자동차,128540
오리엔트정공,자동차,65500
삼원강재,자동차,23000
화승알앤에이,자동차,378850
KR모터스,자동차,40
대성엘텍,자동차,25440
팬스타엔터프라이즈,자동차,54300
동양피스톤,자동차,92780
모베이스,자동차,101330
평화산업,자동차,90080
유성기업,자동차,2920
세원정공,자동차,21820
구영테크,자동차,53270
영신금속,자동차,7530
한국큐빅,자동차,21650
상신브레이크,자동차,41650
핸즈코퍼레이션,자동차,143210
GH신소재,자동차,130500
새론오토모티브,자동차,75180
유라테크,자동차,48430
태양금속,자동차,4100
서연탑메탈,자동차,19770
SG글로벌,자동차,1380
동일고무벨트,자동차,163560
SJM,자동차,123700
솔루에타,자동차,154040
동원금속,자동차,18500
우리산업홀딩스,자동차,72470
평화홀딩스,자동차,10770
성창오토텍,자동차,80470
DRB동일,자동차,4840
풍강,자동차,93380
네오티스,자동차,85910
네오오토,자동차,212560
일지테크,자동차,19540
부산주공,자동차,5030
체시스,자동차,33250
디젠스,자동차,113810
티피씨글로벌,자동차,130740
KB오토시스,자동차,24120
태원물산,자동차,1420
대유에이피,자동차,290120
THE MIDONG,자동차,161570
SJM홀딩스,자동차,25530
세동,자동차,53060
대동금속,자동차,20400
일정실업,자동차,8500
LG생활건강,"화장품,의류",51900
아모레퍼시픽,"화장품,의류",90430
코웨이,"화장품,의류",21240
F&F,"화장품,의류",383220
휠라홀딩스,"화장품,의류",81660
효성티앤씨,"화장품,의류",298020
아모레G,"화장품,의류",2790
코스맥스,"화장품,의류",192820
영원무역,"화장품,의류",111770
현대바이오,"화장품,의류",48410
한국콜마,"화장품,의류",161890
F&F홀딩스,"화장품,의류",7700
한섬,"화장품,의류",20000
현대그린푸드,"화장품,의류",5440
DI동일,"화장품,의류",1530
신세계인터내셔날,"화장품,의류",31430
한세실업,"화장품,의류",105630
경동나비엔,"화장품,의류",9450
LF,"화장품,의류",93050
신성델타테크,"화장품,의류",65350
화승엔터프라이즈,"화장품,의류",241590
라파스,"화장품,의류",214260
더네이쳐홀딩스,"화장품,의류",298540
아이큐어,"화장품,의류",175250
영원무역홀딩스,"화장품,의류",9970
크리스에프앤씨,"화장품,의류",110790
화승인더,"화장품,의류",6060
한국콜마홀딩스,"화장품,의류",24720
쿠쿠홈시스,"화장품,의류",284740
코웰패션,"화장품,의류",33290
현대바이오랜드,"화장품,의류",52260
애경산업,"화장품,의류",18250
골프존뉴딘홀딩스,"화장품,의류",121440
신성통상,"화장품,의류",5390
브이티지엠피,"화장품,의류",18290
덕성,"화장품,의류",4830
브랜드엑스코퍼레이션,"화장품,의류",337930
올리패스,"화장품,의류",244460
국동,"화장품,의류",5320
신원,"화장품,의류",9270
위닉스,"화장품,의류",44340
쌍방울,"화장품,의류",102280
경방,"화장품,의류",50
쿠쿠홀딩스,"화장품,의류",192400
휴비스,"화장품,의류",79980
인바이오젠,"화장품,의류",101140
대원화성,"화장품,의류",24890
아가방컴퍼니,"화장품,의류",13990
네오팜,"화장품,의류",92730
일신방직,"화장품,의류",3200
새로닉스,"화장품,의류",42600
신일전자,"화장품,의류",2700
골드퍼시픽,"화장품,의류",38530
글로본,"화장품,의류",19660
오텍,"화장품,의류",67170
삼성출판사,"화장품,의류",68290
클리오,"화장품,의류",237880
에스제이그룹,"화장품,의류",306040
대한방직,"화장품,의류",1070
씨앤투스성진,"화장품,의류",352700
조광피혁,"화장품,의류",4700
젬백스링크,"화장품,의류",64800
제이에스코퍼레이션,"화장품,의류",194370
NPC,"화장품,의류",4250
코리아나,"화장품,의류",27050
윌비스,"화장품,의류",8600
코스메카코리아,"화장품,의류",241710
웰바이오텍,"화장품,의류",10600
BYC,"화장품,의류",1460
제로투세븐,"화장품,의류",159580
파세코,"화장품,의류",37070
잇츠한불,"화장품,의류",226320
에브리봇,"화장품,의류",270660
유니켐,"화장품,의류",11330
백산,"화장품,의류",35150
삼익악기,"화장품,의류",2450
삼양통상,"화장품,의류",2170
형지엘리트,"화장품,의류",93240
태평양물산,"화장품,의류",7980
삼천리자전거,"화장품,의류",24950
비비안,"화장품,의류",2070
대현,"화장품,의류",16090
씨티케이,"화장품,의류",260930
한국화장품,"화장품,의류",123690
에이블씨엔씨,"화장품,의류",78520
제이준코스메틱,"화장품,의류",25620
SG세계물산,"화장품,의류",4060
손오공,"화장품,의류",66910
엔바이오니아,"화장품,의류",317870
씨앤씨인터내셔널,"화장품,의류",352480
하츠,"화장품,의류",66130
한세예스24홀딩스,"화장품,의류",16450
이녹스,"화장품,의류",88390
부방,"화장품,의류",14470
방림,"화장품,의류",3610
유진로봇,"화장품,의류",56080
모나미,"화장품,의류",5360
위니아딤채,"화장품,의류",71460
제이에스티나,"화장품,의류",26040
지엔코,"화장품,의류",65060
신영와코루,"화장품,의류",5800
아즈텍WB,"화장품,의류",32080
메타랩스,"화장품,의류",90370
세화피앤씨,"화장품,의류",252500
엔에프씨,"화장품,의류",265740
토박스코리아,"화장품,의류",215480
엠에프엠코리아,"화장품,의류",323230
케이엠,"화장품,의류",83550
오로라,"화장품,의류",39830
리더스코스메틱,"화장품,의류",16100
코스나인,"화장품,의류",82660
호전실업,"화장품,의류",111110
폴라리스우노,"화장품,의류",114630
한독크린텍,"화장품,의류",256150
바른손,"화장품,의류",18700
인디에프,"화장품,의류",14990
코데즈컴바인,"화장품,의류",47770
한국화장품제조,"화장품,의류",3350
씨큐브,"화장품,의류",101240
토니모리,"화장품,의류",214420
본느,"화장품,의류",226340
디케이앤디,"화장품,의류",263020
배럴,"화장품,의류",267790
그리티,"화장품,의류",204020
PN풍년,"화장품,의류",24940
에스디생명공학,"화장품,의류",217480
원풍물산,"화장품,의류",8290
선진뷰티사이언스,"화장품,의류",86710
전방,"화장품,의류",950
알톤스포츠,"화장품,의류",123750
TBH글로벌,"화장품,의류",84870
형지I&C,"화장품,의류",11080
LS네트웍스,"화장품,의류",680
제닉,"화장품,의류",123330
한세엠케이,"화장품,의류",69640
코디,"화장품,의류",80530
까스텔바작,"화장품,의류",308100
패션플랫폼,"화장품,의류",225590
자안코스메틱,"화장품,의류",219550
진도,"화장품,의류",88790
양지사,"화장품,의류",30960
아우딘퓨쳐스,"화장품,의류",227610
자이글,"화장품,의류",234920
에스티오,"화장품,의류",98660
강원랜드,"호텔,레저",35250
호텔신라,"호텔,레저",8770
하나투어,"호텔,레저",39130
아난티,"호텔,레저",25980
파라다이스,"호텔,레저",34230
롯데관광개발,"호텔,레저",32350
GKL,"호텔,레저",114090
모두투어,"호텔,레저",80160
서부T&D,"호텔,레저",6730
신세계푸드,"호텔,레저",31440
맘스터치,"호텔,레저",220630
용평리조트,"호텔,레저",70960
참좋은여행,"호텔,레저",94850
이월드,"호텔,레저",84680
노랑풍선,"호텔,레저",104620
시공테크,"호텔,레저",20710
디딤,"호텔,레저",217620
남화산업,"호텔,레저",111710
하이브,"미디어,교육",352820
CJ ENM,"미디어,교육",35760
제일기획,"미디어,교육",30000
에스엠,"미디어,교육",41510
JYP Ent.,"미디어,교육",35900
스튜디오드래곤,"미디어,교육",253450
이노션,"미디어,교육",214320
와이지엔터테인먼트,"미디어,교육",122870
CJ CGV,"미디어,교육",79160
SBS,"미디어,교육",34120
위지윅스튜디오,"미디어,교육",299900
제이콘텐트리,"미디어,교육",36420
메가스터디교육,"미디어,교육",215200
초록뱀미디어,"미디어,교육",47820
덱스터,"미디어,교육",206560
에이스토리,"미디어,교육",241840
에코마케팅,"미디어,교육",230360
LG헬로비전,"미디어,교육",37560
대원미디어,"미디어,교육",48910
KMH,"미디어,교육",122450
스카이라이프,"미디어,교육",53210
NEW,"미디어,교육",160550
SM C&C,"미디어,교육",48550
디앤씨미디어,"미디어,교육",263720
YG PLUS,"미디어,교육",37270
지니뮤직,"미디어,교육",43610
쇼박스,"미디어,교육",86980
인크로스,"미디어,교육",216050
키이스트,"미디어,교육",54780
티비씨,"미디어,교육",33830
현대퓨처넷,"미디어,교육",126560
아센디오,"미디어,교육",12170
청담러닝,"미디어,교육",96240
나스미디어,"미디어,교육",89600
웅진씽크빅,"미디어,교육",95720
KNN,"미디어,교육",58400
엔케이물산,"미디어,교육",9810
코퍼스코리아,"미디어,교육",322780
YTN,"미디어,교육",40300
디지털대성,"미디어,교육",68930
메가스터디,"미디어,교육",72870
큐브엔터,"미디어,교육",182360
엔피,"미디어,교육",291230
NE능률,"미디어,교육",53290
SM Life Design,"미디어,교육",63440
이엔코퍼레이션,"미디어,교육",66980
IHQ,"미디어,교육",3560
스튜디오산타클로스,"미디어,교육",204630
SBS미디어홀딩스,"미디어,교육",101060
한국경제TV,"미디어,교육",39340
디지틀조선,"미디어,교육",33130
아이오케이,"미디어,교육",78860
이엠넷,"미디어,교육",123570
이스타코,"미디어,교육",15020
삼화네트웍스,"미디어,교육",46390
팬엔터테인먼트,"미디어,교육",68050
에프엔씨엔터,"미디어,교육",173940
드림어스컴퍼니,"미디어,교육",60570
멀티캠퍼스,"미디어,교육",67280
엔비티,"미디어,교육",236810
바른손이앤에이,"미디어,교육",35620
로보티즈,"미디어,교육",108490
대교,"미디어,교육",19680
지투알,"미디어,교육",35000
정상제이엘에스,"미디어,교육",40420
판타지오,"미디어,교육",32800
아시아경제,"미디어,교육",127710
YBM넷,"미디어,교육",57030
애니플러스,"미디어,교육",310200
큐로홀딩스,"미디어,교육",51780
iMBC,"미디어,교육",52220
아이스크림에듀,"미디어,교육",289010
와이즈버즈,"미디어,교육",273060
메가엠디,"미디어,교육",133750
씨엠에스에듀,"미디어,교육",225330
아이비김영,"미디어,교육",339950
로보로보,"미디어,교육",215100
비상교육,"미디어,교육",100220
SBS콘텐츠허브,"미디어,교육",46140
갤럭시아에스엠,"미디어,교육",11420
씨씨에스,"미디어,교육",66790
NHN벅스,"미디어,교육",104200
오리콤,"미디어,교육",10470
이퓨쳐,"미디어,교육",134060
플레이디,"미디어,교육",237820
이마트,소매(유통),139480
신세계,소매(유통),4170
BGF리테일,소매(유통),282330
GS리테일,소매(유통),7070
현대백화점,소매(유통),69960
롯데쇼핑,소매(유통),23530
현대홈쇼핑,소매(유통),57050
인터파크,소매(유통),35080
케이카,소매(유통),381970
